n
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{name:Keanu Reeves,born:1964}"
"{name:Carrie-Anne Moss,born:1967}"
"{name:Laurence Fishburne,born:1961}"
"{name:Hugo Weaving,born:1960}"
"{name:Lilly Wachowski,born:1967}"
"{name:Lana Wachowski,born:1965}"
"{name:Joel Silver,born:1952}"
"{name:Emil Eifrem,born:1978}"
"{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{title:The Devil's Advocate,tagline:Evil has its winning ways,released:1997}"
"{name:Charlize Theron,born:1975}"
"{name:Al Pacino,born:1940}"
"{name:Taylor Hackford,born:1944}"
"{title:A Few Good Men,tagline:In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.,released:1992}"
"{name:Tom Cruise,born:1962}"
"{name:Jack Nicholson,born:1937}"
"{name:Demi Moore,born:1962}"
"{name:Kevin Bacon,born:1958}"
"{name:Kiefer Sutherland,born:1966}"
"{name:Noah Wyle,born:1971}"
"{name:Cuba Gooding Jr.,born:1968}"
"{name:Kevin Pollak,born:1957}"
"{name:J.T. Walsh,born:1943}"
"{name:James Marshall,born:1967}"
"{name:Christopher Guest,born:1948}"
"{name:Rob Reiner,born:1947}"
"{name:Aaron Sorkin,born:1961}"
"{title:Top Gun,tagline:I feel the need, the need for speed.,released:1986}"
"{name:Kelly McGillis,born:1957}"
"{name:Val Kilmer,born:1959}"
"{name:Anthony Edwards,born:1962}"
"{name:Tom Skerritt,born:1933}"
"{name:Meg Ryan,born:1961}"
"{name:Tony Scott,born:1944}"
"{name:Jim Cash,born:1941}"
"{title:Jerry Maguire,tagline:The rest of his life begins now.,released:2000}"
"{name:Renee Zellweger,born:1969}"
"{name:Kelly Preston,born:1962}"
"{name:Jerry O'Connell,born:1974}"
"{name:Jay Mohr,born:1970}"
"{name:Bonnie Hunt,born:1961}"
"{name:Regina King,born:1971}"
"{name:Jonathan Lipnicki,born:1996}"
"{name:Cameron Crowe,born:1957}"
"{title:Stand By Me,tagline:For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.,released:1986}"
"{name:River Phoenix,born:1970}"
"{name:Corey Feldman,born:1971}"
"{name:Wil Wheaton,born:1972}"
"{name:John Cusack,born:1966}"
"{name:Marshall Bell,born:1942}"
"{title:As Good as It Gets,tagline:A comedy from the heart that goes for the throat.,released:1997}"
"{name:Helen Hunt,born:1963}"
"{name:Greg Kinnear,born:1963}"
"{name:James L. Brooks,born:1940}"
"{title:What Dreams May Come,tagline:After life there is more. The end is just the beginning.,released:1998}"
"{name:Annabella Sciorra,born:1960}"
"{name:Max von Sydow,born:1929}"
"{name:Werner Herzog,born:1942}"
"{name:Robin Williams,born:1951}"
"{name:Vincent Ward,born:1956}"
"{title:Snow Falling on Cedars,tagline:First loves last. Forever.,released:1999}"
"{name:Ethan Hawke,born:1970}"
"{name:Rick Yune,born:1971}"
"{name:James Cromwell,born:1940}"
"{name:Scott Hicks,born:1953}"
"{title:You've Got Mail,tagline:At odds in life... in love on-line.,released:1998}"
"{name:Parker Posey,born:1968}"
"{name:Dave Chappelle,born:1973}"
"{name:Steve Zahn,born:1967}"
"{name:Tom Hanks,born:1956}"
"{name:Nora Ephron,born:1941}"
"{title:Sleepless in Seattle,tagline:What if someone you never met, someone you never saw, someone you never knew was the only someone for you?,released:1993}"
"{name:Rita Wilson,born:1956}"
"{name:Bill Pullman,born:1953}"
"{name:Victor Garber,born:1949}"
"{name:Rosie O'Donnell,born:1962}"
"{title:Joe Versus the Volcano,tagline:A story of love, lava and burning desire.,released:1990}"
"{name:John Patrick Stanley,born:1950}"
"{name:Nathan Lane,born:1956}"
"{title:When Harry Met Sally,tagline:At odds in life... in love on-line.,released:1998}"
"{name:Billy Crystal,born:1948}"
"{name:Carrie Fisher,born:1956}"
"{name:Bruno Kirby,born:1949}"
"{title:That Thing You Do,tagline:In every life there comes a time when that thing you dream becomes that thing you do,released:1996}"
"{name:Liv Tyler,born:1977}"
"{title:The Replacements,tagline:Pain heals, Chicks dig scars... Glory lasts forever,released:2000}"
"{name:Brooke Langton,born:1970}"
"{name:Gene Hackman,born:1930}"
"{name:Orlando Jones,born:1968}"
"{name:Howard Deutch,born:1950}"
"{title:RescueDawn,tagline:Based on the extraordinary true story of one man's fight for freedom,released:2006}"
"{name:Christian Bale,born:1974}"
"{name:Zach Grenier,born:1954}"
"{title:The Birdcage,tagline:Come as you are,released:1996}"
"{name:Mike Nichols,born:1931}"
"{title:Unforgiven,tagline:It's a hell of a thing, killing a man,released:1992}"
"{name:Richard Harris,born:1930}"
"{name:Clint Eastwood,born:1930}"
"{title:Johnny Mnemonic,tagline:The hottest data on earth. In the coolest head in town,released:1995}"
"{name:Takeshi Kitano,born:1947}"
"{name:Dina Meyer,born:1968}"
"{name:Ice-T,born:1958}"
"{name:Robert Longo,born:1953}"
"{title:Cloud Atlas,tagline:Everything is connected,released:2012}"
"{name:Halle Berry,born:1966}"
"{name:Jim Broadbent,born:1949}"
"{name:Tom Tykwer,born:1965}"
"{name:David Mitchell,born:1969}"
"{name:Stefan Arndt,born:1961}"
"{title:The Da Vinci Code,tagline:Break The Codes,released:2006}"
"{name:Ian McKellen,born:1939}"
"{name:Audrey Tautou,born:1976}"
"{name:Paul Bettany,born:1971}"
"{name:Ron Howard,born:1954}"
"{title:V for Vendetta,tagline:Freedom! Forever!,released:2006}"
"{name:Natalie Portman,born:1981}"
"{name:Stephen Rea,born:1946}"
"{name:John Hurt,born:1940}"
"{name:Ben Miles,born:1967}"
"{title:Speed Racer,tagline:Speed has no limits,released:2008}"
"{name:Emile Hirsch,born:1985}"
"{name:John Goodman,born:1960}"
